Longitude,Latitude,Altitude
-69.953816,44.38875,64.048668
-69.954403,44.388505,64.868771
-69.95479,44.388522,65.018788
-69.955244,44.388315,65.039777
-69.955662,44.388109,67.215754
-69.956264,44.387926,65.647517
-69.956586,44.387837,65.772418
-69.956825,44.387632,65.298702
-69.957117,44.387502,66.578102
-69.957312,44.387315,65.183152
-69.957562,44.387116,64.695038
-69.957808,44.386884,66.12251
-69.958077,44.386655,65.643081
-69.958432,44.386398,66.060939
-69.958544,44.38619,64.794441
-69.95858,44.386061,64.164249
-69.958762,44.385882,66.463979
-69.958811,44.385716,64.939242
-69.959062,44.385519,67.646537
-69.959007,44.38524,65.7204
-69.958974,44.384953,69.381043
-69.958947,44.384657,68.715435
-69.959068,44.384414,69.952023
-69.959262,44.384201,69.497239
-69.959464,44.383969,68.541173
-69.95963,44.383727,68.28633
-69.959799,44.383488,69.62036
-69.959983,44.383246,67.177149
-69.96003,44.382946,66.748954
-69.960101,44.382705,67.438643
-69.960432,44.38258,65.278349
-69.960726,44.382428,67.050852
-69.961047,44.382342,67.32872
-69.961392,44.382189,66.186699
-69.961527,44.38194,66.228162
-69.961689,44.381725,64.944568
-69.961909,44.381705,65.014616
-69.962181,44.381547,65.272252
-69.96233,44.38143,65.296656
-69.962308,44.381328,64.594035
-69.96263,44.381184,65.448562
-69.962976,44.381104,65.655505
-69.963023,44.380926,64.33605
-69.963326,44.380919,64.330562
-69.963582,44.381,64.967784
-69.963737,44.380894,64.488133
-69.964012,44.380999,64.649133
-69.964276,44.381071,65.18414
-69.964479,44.381017,65.322636
-69.964494,44.380784,64.870994
-69.964727,44.380642,65.101424
-69.964534,44.380331,64.826617
-69.964353,44.37986,64.634367
-69.964362,44.379411,65.045971
-69.964502,44.379141,64.532424
-69.964972,44.379011,65.19612
-69.965352,44.378913,65.820358
-69.965739,44.378793,66.236369
-69.966018,44.378847,65.883289
-69.966142,44.379065,65.272959
-69.966334,44.379021,65.272939
-69.96633,44.378793,65.891094
-69.966156,44.378536,67.742925
-69.965869,44.37851,66.671203
-69.965531,44.378608,66.822052
-69.965308,44.378697,66.217418
-69.965066,44.378752,64.036691
-69.964775,44.378652,64.036369
-69.964431,44.378543,64.036287
-69.964016,44.378391,64.318821
-69.963622,44.378354,64.036684
-69.963323,44.378282,64.036429
-69.96338,44.377909,65.601113
-69.963078,44.377645,65.235796
-69.962645,44.377416,64.616356
-69.962288,44.377345,69.04057
-69.961991,44.377519,66.705381
-69.961697,44.377603,68.581025
-69.961441,44.377652,65.936515
-69.961169,44.377571,67.097227
-69.960744,44.377438,69.16101
-69.960389,44.377273,72.690307
-69.960018,44.377151,71.639049
-69.959748,44.376986,69.908799
-69.95955,44.376897,75.014706
-69.959224,44.376894,67.576762
-69.958877,44.376789,65.68498
-69.958585,44.376607,64.373448
-69.958417,44.376337,65.460515
-69.958205,44.375996,69.174894
-69.957999,44.375704,69.884312
-69.957701,44.375434,67.605003
-69.957311,44.375267,64.036695
-69.957126,44.374901,68.143922
-69.957076,44.374578,70.004404
-69.957009,44.374322,65.14052
-69.95693,44.374013,66.43982
-69.95682,44.373774,68.387549
-69.95655,44.37362,68.142588
-69.956336,44.373477,68.030869
-69.956091,44.373291,68.770154
-69.956004,44.373033,67.61389
-69.956064,44.372766,69.087521
-69.95616,44.372555,68.281357
-69.956338,44.372389,67.117594
-69.956565,44.372276,66.497195
-69.956801,44.37204,64.981634
-69.957134,44.371802,66.752002
-69.957324,44.371699,64.92851
-69.957433,44.371567,64.947459
-69.957448,44.371369,64.809845
-69.957564,44.371174,64.984473
-69.957711,44.371043,64.574838
-69.95783,44.370799,64.630232
-69.957992,44.370629,64.237873
-69.958154,44.370534,66.36824
-69.958224,44.370374,67.052763
-69.958194,44.37016,68.201885
-69.958194,44.369908,67.993851
-69.958303,44.369792,67.163559
-69.95842,44.369618,65.59997
-69.958508,44.369451,68.53792
-69.958438,44.369264,69.092423
-69.958375,44.369082,69.7137
-69.958336,44.3689,69.176305
-69.958359,44.368694,65.762662
-69.958408,44.368576,65.064506
-69.958509,44.368488,65.353919
-69.958724,44.36848,67.609752
-69.958783,44.368274,67.984969
-69.958892,44.368065,68.122898
-69.958945,44.367863,65.263442
-69.959036,44.367742,67.34015
-69.959045,44.36756,68.201256
-69.958993,44.367387,67.334132
-69.958956,44.367231,68.618732
-69.958867,44.367035,66.352387
-69.958828,44.366794,66.140127
-69.958897,44.366638,66.833131
-69.959095,44.366544,66.307451
-69.959126,44.366425,67.908534
-69.958937,44.36622,67.174416
-69.958792,44.366032,66.003127
-69.958689,44.365858,66.68077
-69.958581,44.36571,67.318163
-69.958464,44.365514,65.881501
-69.958357,44.365351,65.986103
-69.958282,44.365236,65.361938
-69.958184,44.365089,66.508107
-69.958374,44.365007,65.892613
-69.958659,44.365025,65.413059
-69.958931,44.36498,66.547227
-69.959054,44.364826,65.029397
-69.959142,44.364681,64.429406
-69.959274,44.364379,64.768369
-69.959362,44.364106,64.470287
-69.959462,44.363829,66.387909
-69.959542,44.363594,65.561063
-69.959668,44.363437,66.305469
-69.95979,44.363209,65.910454
-69.959977,44.362957,65.311446
-69.960057,44.362744,64.58256
-69.960206,44.362558,64.522055
-69.960394,44.362379,64.784229
-69.960478,44.362188,64.705174
-69.960586,44.361944,65.297415
-69.96075,44.361713,66.403816
-69.960905,44.361546,67.181725
-69.961043,44.36128,66.301606
-69.961132,44.361125,67.294364
