Longitude,Latitude,Altitude
-69.955959,44.375322,64.036634
-69.95611,44.375334,64.036683
-69.956074,44.375128,64.036859
-69.956044,44.374954,64.036516
-69.955916,44.374833,64.036586
-69.955723,44.374685,64.036411
-69.955557,44.374471,64.036596
-69.955395,44.374362,64.036649
-69.955285,44.374244,64.036547
-69.955143,44.374173,64.036593
-69.955059,44.374277,64.036516
-69.955094,44.374543,64.036348
-69.955194,44.374742,64.036606
-69.955225,44.374864,64.036549
-69.955179,44.374963,64.036766
-69.955306,44.375037,64.036828
-69.955519,44.375097,64.036928
-69.955744,44.375177,64.036785
-69.955959,44.375322,64.036634
