Number,Street,County,Zipcode,Longitude,Latitude
9,Knickerbocker Rd,Kennebec,04364,-69.9700111,44.3109789
15,Knickerbocker Rd,Kennebec,04364,-69.9697243,44.3110759
28,Knickerbocker Rd,Kennebec,04364,-69.9691658,44.3114272
80,Lakeshore Dr,Kennebec,04364,-69.9733045,44.3239962
92,Lakeshore Dr,Kennebec,04364,-69.9735702,44.3230036
98,Lakeshore Dr,Kennebec,04364,-69.9742413,44.3222551
14,Maranacook Station Ln,Kennebec,04364,-69.9577413,44.3452217
20,Maranacook Station Ln,Kennebec,04364,-69.9579079,44.3450537
24,Maranacook Station Ln,Kennebec,04364,-69.9578713,44.3447299
30,Maranacook Station Ln,Kennebec,04364,-69.9579292,44.3444323
46,Maranacook Station Ln,Kennebec,04364,-69.9583869,44.3432671
52,Maranacook Station Ln,Kennebec,04364,-69.9586371,44.3428374
77,Maranacook Station Ln,Kennebec,04364,-69.9576829,44.3458749
91,Maranacook Station Ln,Kennebec,04364,-69.9575966,44.3467354
107,Maranacook Station Ln,Kennebec,04364,-69.9571969,44.3476165
27,Mcvicker Ln,Kennebec,04364,-69.9355677,44.3464723
31,Mcvicker Ln,Kennebec,04364,-69.9363731,44.3462316
43,Mcvicker Ln,Kennebec,04364,-69.9368909,44.3456602
45,Mcvicker Ln,Kennebec,04364,-69.9371905,44.3455677
49,Mcvicker Ln,Kennebec,04364,-69.9373942,44.345359
15,Memorial Dr,Kennebec,04364,-69.9696984,44.3114092
25,Memorial Dr,Kennebec,04364,-69.9693804,44.3118935
64,Memorial Dr,Kennebec,04364,-69.9697034,44.3132323
65,Memorial Dr,Kennebec,04364,-69.9691899,44.3132681
72,Memorial Dr,Kennebec,04364,-69.9696586,44.3135612
86,Memorial Dr,Kennebec,04364,-69.9695152,44.3139901
87,Memorial Dr,Kennebec,04364,-69.9688829,44.3136624
92,Memorial Dr,Kennebec,04364,-69.9693245,44.3142123
104,Memorial Dr,Kennebec,04364,-69.9688903,44.3144951
119,Memorial Dr,Kennebec,04364,-69.9675833,44.3143171
120,Memorial Dr,Kennebec,04364,-69.968295,44.3148962
123,Memorial Dr,Kennebec,04364,-69.9676657,44.314753
137,Memorial Dr,Kennebec,04364,-69.9670273,44.3148215
141,Memorial Dr,Kennebec,04364,-69.9668227,44.3149582
147,Memorial Dr,Kennebec,04364,-69.9666745,44.315099
153,Memorial Dr,Kennebec,04364,-69.9664567,44.3151999
154,Memorial Dr,Kennebec,04364,-69.9670201,44.3155283
155,Memorial Dr,Kennebec,04364,-69.966208,44.3153281
172,Memorial Dr,Kennebec,04364,-69.9664956,44.3160414
167,Memorial Dr,Kennebec,04364,-69.9661332,44.3157338
176,Memorial Dr,Kennebec,04364,-69.9661912,44.3162105
177,Memorial Dr,Kennebec,04364,-69.9656849,44.3159222
185,Memorial Dr,Kennebec,04364,-69.9654995,44.3160903
186,Memorial Dr,Kennebec,04364,-69.9660194,44.3164415
192,Memorial Dr,Kennebec,04364,-69.9656436,44.3164627
206,Memorial Dr,Kennebec,04364,-69.9654132,44.3169418
216,Memorial Dr,Kennebec,04364,-69.964648,44.3169258
228,Memorial Dr,Kennebec,04364,-69.9644768,44.3171928
236,Memorial Dr,Kennebec,04364,-69.964209,44.3176857
237,Memorial Dr,Kennebec,04364,-69.9634092,44.3170893
239,Memorial Dr,Kennebec,04364,-69.9632473,44.3171582
242,Memorial Dr,Kennebec,04364,-69.9635223,44.3174844
247,Memorial Dr,Kennebec,04364,-69.9628786,44.3172288
248,Memorial Dr,Kennebec,04364,-69.9632075,44.3177887
252,Memorial Dr,Kennebec,04364,-69.9626539,44.3176763
260,Memorial Dr,Kennebec,04364,-69.962243,44.3190077
262,Memorial Dr,Kennebec,04364,-69.9621016,44.3184102
278,Memorial Dr,Kennebec,04364,-69.961661,44.3183059
286,Memorial Dr,Kennebec,04364,-69.9612813,44.3177104
298,Memorial Dr,Kennebec,04364,-69.9606919,44.3180935
340,Memorial Dr,Kennebec,04364,-69.9585249,44.3186249
351,Memorial Dr,Kennebec,04364,-69.9586621,44.3178089
358,Memorial Dr,Kennebec,04364,-69.9577775,44.3193199
361,Memorial Dr,Kennebec,04364,-69.9575643,44.3189345
372,Memorial Dr,Kennebec,04364,-69.9574362,44.3199214
373,Memorial Dr,Kennebec,04364,-69.9568904,44.3191337
397,Memorial Dr,Kennebec,04364,-69.9568075,44.3202058
411,Memorial Dr,Kennebec,04364,-69.9565964,44.3207207
418,Memorial Dr,Kennebec,04364,-69.9569358,44.3215371
427,Memorial Dr,Kennebec,04364,-69.9562956,44.3218846
428,Memorial Dr,Kennebec,04364,-69.9567599,44.3219077
