Number,Street,County,Zipcode,Longitude,Latitude
14,Maranacook Station Ln,Kennebec,04364,-69.9577413,44.3452217
30,Maranacook Station Ln,Kennebec,04364,-69.9579292,44.3444323
46,Maranacook Station Ln,Kennebec,04364,-69.9583869,44.3432671
45,Mcvicker Ln,Kennebec,04364,-69.9371905,44.3455677
64,Memorial Dr,Kennebec,04364,-69.9697034,44.3132323
72,Memorial Dr,Kennebec,04364,-69.9696586,44.3135612
86,Memorial Dr,Kennebec,04364,-69.9695152,44.3139901
92,Memorial Dr,Kennebec,04364,-69.9693245,44.3142123
120,Memorial Dr,Kennebec,04364,-69.968295,44.3148962
154,Memorial Dr,Kennebec,04364,-69.9670201,44.3155283
172,Memorial Dr,Kennebec,04364,-69.9664956,44.3160414
176,Memorial Dr,Kennebec,04364,-69.9661912,44.3162105
186,Memorial Dr,Kennebec,04364,-69.9660194,44.3164415
236,Memorial Dr,Kennebec,04364,-69.964209,44.3176857
260,Memorial Dr,Kennebec,04364,-69.962243,44.3190077
340,Memorial Dr,Kennebec,04364,-69.9585249,44.3186249
358,Memorial Dr,Kennebec,04364,-69.9577775,44.3193199
372,Memorial Dr,Kennebec,04364,-69.9574362,44.3199214
418,Memorial Dr,Kennebec,04364,-69.9569358,44.3215371
428,Memorial Dr,Kennebec,04364,-69.9567599,44.3219077
436,Memorial Dr,Kennebec,04364,-69.9566261,44.3221609
448,Memorial Dr,Kennebec,04364,-69.9564938,44.3225087
470,Memorial Dr,Kennebec,04364,-69.9562764,44.3230237
558,Memorial Dr,Kennebec,04364,-69.9554926,44.3253395
568,Memorial Dr,Kennebec,04364,-69.9554036,44.3256508
672,Memorial Dr,Kennebec,04364,-69.953351,44.3286209
678,Memorial Dr,Kennebec,04364,-69.9532546,44.3288648
684,Memorial Dr,Kennebec,04364,-69.9531258,44.329046
698,Memorial Dr,Kennebec,04364,-69.9525477,44.3293614
714,Memorial Dr,Kennebec,04364,-69.951748,44.3295481
792,Memorial Dr,Kennebec,04364,-69.9502417,44.3318024
798,Memorial Dr,Kennebec,04364,-69.9500883,44.3320107
802,Memorial Dr,Kennebec,04364,-69.9497214,44.3322028
808,Memorial Dr,Kennebec,04364,-69.949618,44.3324063
814,Memorial Dr,Kennebec,04364,-69.9491967,44.3327249
824,Memorial Dr,Kennebec,04364,-69.949076,44.3330185
834,Memorial Dr,Kennebec,04364,-69.9486668,44.33331
846,Memorial Dr,Kennebec,04364,-69.9483671,44.3337851
856,Memorial Dr,Kennebec,04364,-69.9483078,44.3339927
882,Memorial Dr,Kennebec,04364,-69.9481324,44.3347864
898,Memorial Dr,Kennebec,04364,-69.9480023,44.3352781
964,Memorial Dr,Kennebec,04364,-69.9464074,44.33711
998,Memorial Dr,Kennebec,04364,-69.9451407,44.3379037
1040,Memorial Dr,Kennebec,04364,-69.9424369,44.3378765
38,Simpson Ln,Kennebec,04364,-69.938375,44.3411735
243,Tallwood Rd,Kennebec,04364,-69.955566,44.3429891
257,Tallwood Rd,Kennebec,04364,-69.9558952,44.3420186
160,Memorial Dr,Kennebec,04364,-69.9667281,44.3156883
918,Memorial Dr,Kennebec,04364,-69.9473422,44.3359588
656,Memorial Dr,Kennebec,04364,-69.9537705,44.3281943
648,Memorial Dr,Kennebec,04364,-69.9540677,44.3279622
464,Memorial Dr,Kennebec,04364,-69.956349,44.322861
384,Memorial Dr,Kennebec,04364,-69.9573509,44.3204623
146,Memorial Dr,Kennebec,04364,-69.9673942,44.315399
39,McVicker Ln,Kennebec,04364,-69.9366701,44.3459771
41,McVicker Ln,Kennebec,04364,-69.9369631,44.3458577
47,McVicker Ln,Kennebec,04364,-69.9373583,44.3454673
85,Maranacook Station Ln,Kennebec,04364,-69.9575525,44.3463396
75,Maranacook Station Ln,Kennebec,04364,-69.9575081,44.3455387
34,Maranacook Station Ln,Kennebec,04364,-69.9580444,44.3441883
50,Maranacook Station Ln,Kennebec,04364,-69.9585201,44.3429734
210,Tallwood Rd,Kennebec,04364,-69.9533937,44.3444163
